,COUNTRY NAME,TOTAL REQUEST,TOTAL IMPRESSION,TOTAL BID VALUE,TOTAL CLICK,TOTAL WIN,TOTAL WIN BID VALUE,TOTAL CLIENT RENDER,Conversions,Revenue,PubIncome,CTR (%),FR (%)
,Angola,2340,0,0.000,0,0,0.000,0,0,0.000,0.000,0.000,0.000
,India,494,496,2.482,0,0,0.000,0,0,0.000,0.000,0.000,100.405
TOTAL,,2834,496,2.481592918762716,0,0,0.0,0,0,3.110000000000002E-4,1.555000000000001E-4,,
