,Publisher,COUNTRY NAME,TOTAL REQUEST,TOTAL IMPRESSION,TOTAL BID VALUE,TOTAL CLICK,TOTAL WIN,TOTAL WIN BID VALUE,TOTAL CLIENT RENDER,Conversions,Revenue,PubIncome,CTR (%),FR (%)
,testpub21jul,India,754,782,3.905,0,0,0.000,0,0,0.000,0.000,0.000,103.714
TOTAL,,,754,782,3.905383258969222,0,0,0.0,0,0,0.0,0.0,,
