,COUNTRY NAME,ISP NAME,TOTAL REQUEST,TOTAL IMPRESSION,FR (%),TOTAL WIN,WTR (%),TOTAL BID VALUE,TOTAL WIN BID VALUE,ECPW,EIPW,TOTAL CLIENT RENDER,RTR (%),TOTAL CLICK,Billed Clicks,CTR (%),Profit Margin (%),Conversions,clicksr,Revenue,Network Revenue,Exchange Revenue,CPA Revenue,eCPC,billedECPC,ECPM,ECPA,PubIncome,Network Income,Exchange Income,eIPC,EIPM,EIPA
,India,None,21341,21341,100.000,0,0.000,106.705,0.000,0.000,0.000,0,0.000,35,35,0.164,91.667,35,100.000,0.420,21.000,10.500,3.500,0.012,0.012,0.020,0.012,0.035,17.500,7.000,0.001,0.002,0.001
TOTAL,,,21341,21341,,0,,106.70499999998043,0.0,,,0,,35,35,,,35,,0.4200000000000002,21.000000000000007,10.500000000000004,3.5000000000000018,,,,,0.035000000000000024,17.5,7.0000000000000036,,,
