,TOTAL REQUEST,TOTAL IMPRESSION,FR (%),TOTAL WIN,WTR (%),TOTAL BID VALUE,TOTAL WIN BID VALUE,ECPW,EIPW,TOTAL CLIENT RENDER,Billed CSC,RTR (%),TOTAL CLICK,Billed Clicks,CTR (%),Profit Margin (%),Conversions,Revenue,Network Revenue,Exchange Revenue,CPA Revenue,ECPA,PubIncome,Network Income,Exchange Income,eIPC,EIPM,billedEIPM,EIPA
,0,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TOTAL,0,0,,0,,0.0,0.0,,,0,0,,0,0,,,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,
